compound,date,neg,neu,pos,time,tweets ago,user
0.0,2018-03-06,0.0,1.0,0.0,Tue Mar 06 19:30:06 +0000 2018,1,@BBC
-0.4215,2018-03-06,0.219,0.781,0.0,Tue Mar 06 18:30:07 +0000 2018,2,@BBC
0.4939,2018-03-06,0.0,0.873,0.127,Tue Mar 06 18:03:04 +0000 2018,3,@BBC
-0.1027,2018-03-06,0.185,0.65,0.165,Tue Mar 06 17:30:07 +0000 2018,4,@BBC
0.0,2018-03-06,0.0,1.0,0.0,Tue Mar 06 17:25:44 +0000 2018,5,@BBC
0.3182,2018-03-06,0.0,0.881,0.119,Tue Mar 06 17:02:04 +0000 2018,6,@BBC
-0.0644,2018-03-06,0.079,0.853,0.068,Tue Mar 06 15:30:10 +0000 2018,7,@BBC
0.6997,2018-03-06,0.0,0.692,0.308,Tue Mar 06 14:44:33 +0000 2018,8,@BBC
0.8439,2018-03-06,0.0,0.664,0.336,Tue Mar 06 14:30:05 +0000 2018,9,@BBC
0.7269,2018-03-06,0.0,0.724,0.276,Tue Mar 06 13:48:06 +0000 2018,10,@BBC
0.6246,2018-03-06,0.102,0.605,0.293,Tue Mar 06 13:12:33 +0000 2018,11,@BBC
0.0,2018-03-06,0.0,1.0,0.0,Tue Mar 06 13:11:26 +0000 2018,12,@BBC
0.4404,2018-03-06,0.0,0.868,0.132,Tue Mar 06 13:10:12 +0000 2018,13,@BBC
0.5994,2018-03-06,0.0,0.813,0.187,Tue Mar 06 12:30:05 +0000 2018,14,@BBC
0.7901,2018-03-06,0.0,0.72,0.28,Tue Mar 06 10:18:16 +0000 2018,15,@BBC
0.4215,2018-03-06,0.0,0.872,0.128,Tue Mar 06 09:00:05 +0000 2018,16,@BBC
-0.2732,2018-03-06,0.106,0.837,0.057,Tue Mar 06 08:30:10 +0000 2018,17,@BBC
0.5023,2018-03-06,0.0,0.772,0.228,Tue Mar 06 08:03:02 +0000 2018,18,@BBC
0.0,2018-03-05,0.0,1.0,0.0,Mon Mar 05 19:30:07 +0000 2018,19,@BBC
-0.8555,2018-03-05,0.408,0.592,0.0,Mon Mar 05 18:38:04 +0000 2018,20,@BBC
0.6124,2018-03-05,0.0,0.737,0.263,Mon Mar 05 17:23:22 +0000 2018,21,@BBC
0.4472,2018-03-05,0.0,0.789,0.211,Mon Mar 05 17:15:34 +0000 2018,22,@BBC
0.1531,2018-03-05,0.077,0.818,0.105,Mon Mar 05 17:00:31 +0000 2018,23,@BBC
0.0,2018-03-05,0.0,1.0,0.0,Mon Mar 05 14:48:43 +0000 2018,24,@BBC
-0.1779,2018-03-05,0.145,0.855,0.0,Mon Mar 05 14:43:13 +0000 2018,25,@BBC
0.0,2018-03-05,0.0,1.0,0.0,Mon Mar 05 14:42:36 +0000 2018,26,@BBC
-0.6621,2018-03-05,0.24,0.76,0.0,Mon Mar 05 14:11:28 +0000 2018,27,@BBC
0.0,2018-03-05,0.0,1.0,0.0,Mon Mar 05 14:07:00 +0000 2018,28,@BBC
0.0,2018-03-05,0.0,1.0,0.0,Mon Mar 05 13:17:03 +0000 2018,29,@BBC
0.0,2018-03-05,0.0,1.0,0.0,Mon Mar 05 13:07:19 +0000 2018,30,@BBC
0.6369,2018-03-05,0.0,0.811,0.189,Mon Mar 05 12:34:04 +0000 2018,31,@BBC
0.0,2018-03-05,0.0,1.0,0.0,Mon Mar 05 12:33:12 +0000 2018,32,@BBC
0.4199,2018-03-05,0.0,0.843,0.157,Mon Mar 05 11:54:02 +0000 2018,33,@BBC
0.7845,2018-03-05,0.0,0.67,0.33,Mon Mar 05 11:37:55 +0000 2018,34,@BBC
