compound,date,neg,neu,pos,time,tweets ago,user
0.6249,2018-03-03,0.0,0.745,0.255,Sat Mar 03 21:21:40 +0000 2018,1,@BBC
0.296,2018-03-03,0.0,0.833,0.167,Sat Mar 03 19:36:06 +0000 2018,2,@BBC
0.1695,2018-03-03,0.11,0.72,0.17,Sat Mar 03 19:00:05 +0000 2018,3,@BBC
-0.7717,2018-03-03,0.271,0.729,0.0,Sat Mar 03 18:00:16 +0000 2018,4,@BBC
0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 17:58:00 +0000 2018,5,@BBC
0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 17:57:56 +0000 2018,6,@BBC
-0.6705,2018-03-03,0.256,0.744,0.0,Sat Mar 03 17:46:46 +0000 2018,7,@BBC
0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 17:00:03 +0000 2018,8,@BBC
0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 16:00:08 +0000 2018,9,@BBC
0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 15:26:56 +0000 2018,10,@BBC
0.4754,2018-03-03,0.0,0.877,0.123,Sat Mar 03 15:26:39 +0000 2018,11,@BBC
0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 15:07:50 +0000 2018,12,@BBC
-0.4404,2018-03-03,0.2,0.709,0.091,Sat Mar 03 15:07:40 +0000 2018,13,@BBC
-0.296,2018-03-03,0.115,0.885,0.0,Sat Mar 03 15:00:07 +0000 2018,14,@BBC
-0.5514,2018-03-03,0.229,0.771,0.0,Sat Mar 03 13:30:04 +0000 2018,15,@BBC
0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 12:30:30 +0000 2018,16,@BBC
-0.296,2018-03-03,0.355,0.645,0.0,Sat Mar 03 12:00:04 +0000 2018,17,@BBC
-0.3612,2018-03-03,0.143,0.857,0.0,Sat Mar 03 11:29:49 +0000 2018,18,@BBC
0.6114,2018-03-03,0.0,0.778,0.222,Sat Mar 03 11:18:14 +0000 2018,19,@BBC
-0.3612,2018-03-03,0.134,0.791,0.075,Sat Mar 03 11:00:11 +0000 2018,20,@BBC
0.5719,2018-03-03,0.0,0.844,0.156,Sat Mar 03 10:42:24 +0000 2018,21,@BBC
0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 10:41:48 +0000 2018,22,@BBC
0.7569,2018-03-03,0.0,0.728,0.272,Sat Mar 03 10:00:04 +0000 2018,23,@BBC
